number_nodes|execution_times|distances|optimal_path
3|3.743171691894531e-05|62.522278072170366|[0, 1, 2, 0]
4|2.1457672119140625e-05|87.54844941612416|[0, 1, 2, 3, 0]
5|6.270408630371094e-05|103.54844941612416|[0, 1, 2, 3, 4, 0]
6|6.4849853515625e-05|116.41641168023736|[0, 1, 2, 3, 5, 4, 0]
7|0.0004067420959472656|145.36071861143188|[0, 1, 2, 3, 5, 6, 4, 0]
8|0.0016169548034667969|159.3735269124025|[0, 1, 2, 3, 5, 7, 6, 4, 0]
9|0.003179788589477539|163.578249836108|[0, 1, 2, 3, 8, 7, 6, 5, 4, 0]
