number_nodes|execution_times|distances|optimal_path
39|0.0007920265197753906|705.2932340746287|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 14, 15, 16, 17, 18, 19, 20, 0]
40|0.0004432201385498047|713.9761685614321|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 14, 15, 16, 17, 18, 19, 20, 0]
41|0.0010821819305419922|723.1070961674815|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 14, 15, 16, 17, 18, 19, 20, 0]
42|0.0004324913024902344|732.6754334990939|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 41, 14, 15, 16, 17, 18, 19, 20, 0]
43|0.0006313323974609375|742.6670467165743|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 41, 42, 14, 15, 16, 17, 18, 19, 20, 0]
44|0.000492095947265625|774.111426044543|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 41, 42, 43, 14, 15, 16, 17, 18, 19, 20, 0]
45|0.0005064010620117188|783.9999698645414|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 41, 42, 44, 43, 14, 15, 16, 17, 18, 19, 20, 0]
46|0.0010149478912353516|796.7388430425126|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 41, 42, 45, 44, 43, 14, 15, 16, 17, 18, 19, 20, 0]
47|0.0005817413330078125|810.955836248255|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 41, 42, 46, 45, 44, 43, 14, 15, 16, 17, 18, 19, 20, 0]
48|0.0006158351898193359|825.8885136845397|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 41, 42, 47, 46, 45, 44, 43, 14, 15, 16, 17, 18, 19, 20, 0]
49|0.0009012222290039062|841.1927445016191|[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23, 22, 24, 21, 25, 26, 27, 28, 30, 29, 31, 32, 33, 34, 35, 37, 36, 38, 39, 40, 41, 42, 48, 47, 46, 45, 44, 43, 14, 15, 16, 17, 18, 19, 20, 0]
