number_nodes|execution_times|distances|optimal_path
3|2.7894973754882812e-05|62.522278072170366|[0, 2, 1, 0]
4|2.002716064453125e-05|87.54844941612416|[0, 3, 2, 1, 0]
5|6.723403930664062e-05|103.54844941612416|[0, 1, 2, 3, 4, 0]
6|0.0003609657287597656|116.41641168023736|[0, 1, 2, 3, 5, 4, 0]
7|0.0031235218048095703|145.36071861143188|[0, 1, 2, 3, 5, 6, 4, 0]
8|0.02007746696472168|159.3735269124025|[0, 4, 6, 7, 5, 3, 2, 1, 0]
9|0.18770980834960938|163.57824983610797|[0, 4, 5, 6, 7, 8, 3, 2, 1, 0]
