number_nodes|execution_times|distances|optimal_path
3|2.8133392333984375e-05|62.522278072170366|[0, 1, 2, 0]
4|3.24249267578125e-05|87.54844941612416|[0, 1, 2, 3, 0]
5|5.245208740234375e-05|103.54844941612416|[0, 1, 2, 3, 4, 0]
6|0.0002818107604980469|116.41641168023736|[0, 1, 2, 3, 5, 4, 0]
7|0.0030465126037597656|145.36071861143188|[0, 1, 2, 3, 5, 6, 4, 0]
8|0.019229412078857422|159.3735269124025|[0, 4, 6, 7, 5, 3, 2, 1, 0]
9|0.17684626579284668|163.57824983610794|[4, 0, 1, 2, 3, 8, 7, 6, 5, 4]
